userId,courseId,timeSpent,score,discussions
54,298,10,0,50
112,297,145,0,23
142,187,51,2,35
171,190,109,0,17
96,79,35,1,49
85,179,4,4,33
47,239,157,5,16
30,277,227,1,41
79,13,121,1,48
65,52,86,5,25
151,199,7,5,46
196,254,23,3,34
99,72,109,2,48
175,13,33,1,8
10,212,8,3,4
52,102,70,1,6
132,277,41,0,48
88,122,62,0,48
30,145,97,4,37
96,80,225,3,43
82,245,191,5,31
184,208,89,5,43
156,106,13,3,16
194,105,71,5,2
180,249,144,1,23
168,177,199,4,44
16,114,207,5,16
91,64,203,4,22
87,14,13,4,41
153,95,140,3,14
63,259,90,4,38
125,70,219,1,50
180,283,138,3,37
170,267,169,4,48
129,113,7,2,17
144,262,72,4,40
194,5,150,2,38
169,5,160,0,31
125,34,62,3,41
66,135,214,0,0
13,193,66,5,1
197,247,220,5,24
183,98,138,3,29
96,38,49,0,8
140,82,115,5,45
11,42,112,5,50
154,51,207,4,10
38,278,39,2,0
31,102,43,5,22
121,3,137,0,4
163,151,63,3,23
13,298,150,3,14
23,109,167,1,42
167,127,16,0,11
142,82,41,0,16
124,69,73,5,5
103,171,162,0,4
169,281,54,5,47
119,68,0,1,7
67,227,22,5,28
150,193,194,1,28
71,57,119,5,1
115,279,124,4,32
122,206,16,2,35
172,251,103,1,10
21,138,79,1,3
57,72,168,5,46
126,114,100,0,39
147,268,232,0,25
25,289,92,4,29
5,19,197,4,41
184,253,97,2,37
100,141,23,1,12
97,71,64,2,26
87,205,221,4,5
103,128,122,0,20
8,245,162,5,25
106,264,54,5,42
148,97,157,2,1
175,242,131,4,6
80,140,140,5,12
124,277,28,0,35
130,23,20,0,8
20,96,7,2,33
178,178,194,3,28
34,169,19,5,34
80,293,230,3,48
135,60,10,2,12
21,174,102,5,7
60,261,23,4,19
17,184,19,4,25
145,74,0,3,6
50,131,235,0,6
20,3,213,5,26
160,258,209,0,21
19,101,174,5,42
197,293,207,2,24
173,113,101,2,41
142,199,180,1,18
174,36,89,4,21
55,111,171,3,29
137,289,144,1,37
44,265,133,4,9
73,91,94,3,7
3,295,37,0,36
1,159,163,2,24
117,259,146,3,23
172,157,236,3,11
27,270,131,1,2
59,49,207,2,36
200,161,73,4,13
151,48,63,5,49
60,58,57,0,27
128,12,146,4,31
165,111,99,5,49
20,13,137,3,27
163,265,190,2,11
19,128,235,1,22
77,145,58,0,50
69,290,165,5,36
63,273,145,3,19
116,295,96,1,31
157,31,166,2,50
78,48,140,3,8
59,125,46,0,44
60,142,187,3,29
67,197,106,2,37
124,88,50,0,37
52,92,216,5,24
46,232,2,1,44
28,149,84,3,11
73,265,151,1,21
117,258,42,5,39
129,254,85,3,28
47,256,65,3,30
58,145,4,2,28
102,14,108,4,39
140,75,92,2,17
191,7,168,0,12
27,198,192,4,1
4,291,22,1,31
20,91,12,4,31
198,107,114,3,25
45,155,3,0,48
92,287,70,1,49
11,231,239,2,24
43,236,162,0,50
88,161,7,3,23
19,30,119,1,6
56,79,111,0,4
88,285,187,4,11
4,47,191,1,29
183,6,96,5,49
169,268,97,3,23
96,36,150,2,40
191,110,55,5,20
93,238,135,0,38
110,130,88,0,48
132,72,137,0,16
192,39,86,3,5
79,7,142,2,24
34,109,126,3,26
86,97,158,1,7
123,69,185,5,20
141,241,224,4,40
194,174,95,5,44
110,97,32,5,40
77,84,130,0,10
144,157,54,0,41
168,242,67,5,45
165,286,210,4,6
6,240,85,2,46
94,110,60,5,4
16,124,0,5,20
47,224,213,2,36
188,99,223,5,35
160,159,22,5,13
133,26,212,3,25
164,51,223,2,46
128,28,148,2,20
58,18,74,0,49
23,87,124,1,31
198,50,109,3,11
25,96,33,4,42
67,233,97,1,38
117,234,4,3,1
179,215,3,3,31
175,244,17,4,15
150,219,95,1,37
80,82,108,2,50
75,289,0,4,34
39,101,201,1,42
55,64,113,1,44
56,189,109,0,13
192,262,106,5,0
63,72,189,1,19
82,44,226,3,41
34,123,7,5,17
161,283,224,2,14
158,266,153,1,11
16,108,236,2,1
178,185,112,3,2
152,139,142,4,3
158,125,224,3,32
168,11,162,3,2
127,101,116,4,34
158,69,149,1,22
3,207,171,1,47
6,8,182,5,35
109,80,103,2,32
78,121,10,1,44
172,58,162,1,38
29,144,94,4,28
97,24,58,2,44
92,79,152,0,17
49,239,56,1,43
6,105,207,0,18
200,236,48,5,48
86,198,134,3,15
33,111,223,0,2
47,112,111,4,41
87,150,166,4,9
155,130,190,3,41
122,162,103,2,46
43,101,65,0,42
191,157,14,5,43
106,258,228,1,39
87,110,165,0,8
15,12,204,5,13
2,45,181,1,1
73,261,149,4,13
128,57,163,4,12
128,117,12,1,36
152,298,131,0,33
147,183,236,3,34
92,205,155,1,46
184,135,32,0,31
95,133,58,2,40
26,17,104,2,16
37,81,193,0,18
96,179,166,4,35
187,217,232,4,20
21,96,78,0,34
52,1,58,1,34
38,52,100,0,31
106,235,154,1,16
36,35,62,5,22
74,226,156,1,38
26,159,103,3,35
131,8,39,5,4
53,167,60,0,18
40,153,232,5,4
191,140,24,3,21
14,180,69,2,38
145,273,51,2,21
192,101,205,3,28
3,32,231,2,7
71,250,48,3,9
104,276,92,5,3
155,36,149,5,7
112,124,156,2,18
47,121,191,1,6
61,124,88,5,11
46,69,220,4,25
41,163,162,4,27
197,52,120,4,23
65,170,34,5,39
84,116,132,1,33
11,83,91,4,3
102,36,164,0,5
176,170,232,3,39
198,245,88,1,43
118,220,139,3,16
48,111,129,0,32
138,284,225,1,34
49,250,237,3,38
150,287,221,3,27
100,9,137,2,42
186,144,52,5,18
96,242,129,4,9
83,186,167,1,20
69,113,193,2,30
164,48,225,5,16
78,5,188,0,47
39,46,193,0,45
166,212,197,1,27
127,167,3,2,29
20,172,29,4,15
102,277,24,2,21
100,15,186,5,12
40,211,21,2,49
164,252,31,2,5
111,229,129,5,49
101,136,65,0,33
199,160,141,3,23
144,149,74,3,26
188,297,39,2,38
94,187,213,2,9
166,74,12,1,38
97,171,19,1,48
14,174,89,3,38
3,252,108,3,40
78,72,230,3,34
20,199,137,2,13
111,120,33,5,15
53,233,87,2,23
28,68,68,4,24
71,89,230,1,0
49,194,110,0,35
98,195,76,3,35
55,240,176,1,37
67,42,167,0,0
176,96,179,4,1
165,220,96,1,9
17,219,173,4,24
50,79,176,3,43
83,221,158,3,50
150,135,190,3,28
30,192,69,2,41
114,93,7,2,19
58,219,156,2,42
90,43,205,3,18
159,268,178,1,33
200,65,154,2,39
105,146,178,4,19
150,154,42,2,24
36,4,112,2,15
106,263,199,0,15
30,126,167,2,30
79,180,206,4,4
197,240,196,3,44
42,28,61,5,5
184,298,33,0,46
4,172,18,3,2
159,62,82,1,12
7,188,166,3,20
181,182,162,4,1
20,35,21,5,49
67,65,75,1,7
118,249,222,1,17
116,7,214,5,22
164,45,24,2,6
22,175,233,1,2
160,164,194,0,9
34,197,80,5,9
150,276,215,5,9
159,100,72,3,28
45,258,181,3,42
171,174,231,2,14
161,300,217,4,29
15,91,79,4,21
44,171,201,5,19
124,228,141,5,45
38,18,100,5,37
14,12,96,0,9
13,208,93,1,12
198,19,143,4,40
169,254,187,1,45
198,144,217,2,36
53,110,156,2,6
66,264,204,0,1
99,190,53,3,6
33,93,55,1,23
122,153,72,3,31
181,57,14,0,10
173,157,206,2,11
168,111,178,3,3
151,46,24,4,42
191,110,179,2,24
151,226,158,0,14
169,121,56,5,47
63,157,234,1,37
56,283,83,1,31
59,106,88,3,19
95,144,230,0,27
123,195,235,2,45
37,54,9,2,21
3,68,201,1,1
18,64,202,0,1
122,136,234,4,15
7,1,119,2,41
69,156,82,3,22
193,106,107,1,30
33,233,47,5,30
143,243,69,3,15
109,192,156,1,43
139,197,158,2,34
111,293,152,3,33
129,273,185,5,27
13,191,144,1,12
34,295,34,4,29
42,153,144,4,0
156,6,226,5,1
8,292,214,3,36
191,13,127,0,25
44,169,55,5,14
152,145,28,4,15
158,148,132,5,18
153,172,208,2,22
40,167,30,1,42
35,276,155,5,46
130,213,25,3,48
81,6,125,1,46
85,10,29,4,19
166,195,209,1,3
91,209,113,2,43
87,67,220,4,37
57,205,104,3,19
145,10,69,4,1
60,292,51,0,40
161,28,126,4,4
100,214,58,2,6
184,233,19,2,10
95,43,87,5,39
99,297,213,0,0
148,101,172,5,31
162,131,149,2,4
136,118,87,5,38
72,180,152,3,41
73,259,42,0,24
147,185,109,1,15
7,204,216,5,50
170,69,20,4,10
110,289,28,1,31
51,6,126,2,15
159,151,55,4,19
167,263,47,1,7
46,118,206,3,45
138,189,5,0,45
60,28,72,1,41
182,173,114,2,33
74,132,97,5,49
1,43,169,2,25
63,228,62,2,13
119,261,146,5,8
22,284,139,5,28
141,122,209,2,27
40,169,97,2,50
147,288,52,4,36
130,52,35,1,44
160,229,84,0,27
62,32,191,3,5
83,78,205,5,25
83,204,215,4,9
10,20,40,2,20
55,210,84,1,40
171,146,122,0,11
52,30,88,2,36
70,205,238,1,9
116,77,51,4,13
199,81,86,1,8
12,14,185,1,26
3,84,35,0,22
159,238,11,3,21
139,9,114,2,27
3,84,46,2,21
138,289,227,1,32
174,8,222,2,35
56,252,98,3,8
162,221,162,1,4
139,265,73,4,29
170,207,33,4,47
167,148,132,2,11
194,62,145,5,20
84,34,89,3,3
64,24,34,2,3
89,77,164,1,45
39,186,132,2,24
12,131,59,2,29
64,189,149,0,15
18,221,20,2,36
116,171,65,5,30
60,165,91,2,20
7,193,145,2,13
177,290,38,1,43
112,117,168,0,17
88,294,208,2,10
94,106,69,2,26
172,47,69,2,22
114,238,2,1,30
161,22,153,2,26
22,34,48,5,36
135,14,25,4,32
31,30,76,1,12
88,275,30,0,10
109,4,26,1,15
190,144,205,5,41
145,103,69,2,34
159,141,82,2,14
50,279,111,4,0
179,72,86,0,46
62,259,118,4,29
75,113,142,4,15
142,34,93,0,14
85,13,87,1,49
123,219,234,0,9
33,111,177,3,45
184,162,139,5,18
20,60,14,5,10
36,283,23,3,34
104,273,91,4,31
16,216,150,2,40
136,194,220,5,7
33,200,131,5,17
187,247,33,5,22
68,209,203,4,38
145,210,232,3,11
101,162,14,1,6
146,105,175,3,5
19,144,148,0,27
75,163,132,2,22
74,172,49,4,35
84,149,62,0,12
90,157,81,0,40
135,271,66,2,34
167,193,222,4,16
45,97,199,5,41
139,114,90,0,44
20,110,200,2,35
126,114,23,4,24
64,173,20,1,31
55,168,111,5,40
189,256,106,5,21
109,252,20,3,11
53,56,184,3,17
181,18,215,5,24
146,300,173,0,37
146,210,193,2,28
30,59,0,1,22
53,135,104,2,0
18,174,92,5,43
189,284,163,3,46
186,294,217,2,7
176,50,84,2,7
66,7,1,4,11
3,193,84,0,8
24,296,215,2,49
171,7,240,4,15
130,97,66,3,18
121,215,171,3,45
93,270,28,3,31
169,245,134,3,14
66,30,200,2,34
169,159,205,5,38
140,225,186,0,43
150,282,124,2,27
12,9,222,1,38
77,161,128,2,14
40,90,174,3,49
63,7,1,0,2
41,232,146,4,49
148,233,206,2,30
138,28,205,5,5
120,147,72,5,3
52,50,236,2,47
71,115,59,1,5
104,30,87,1,20
86,266,230,0,46
142,234,186,2,35
149,69,37,5,50
14,199,39,4,43
133,211,215,4,24
189,300,142,1,6
26,156,210,1,16
75,194,227,4,42
189,250,2,1,22
1,72,42,5,31
105,153,120,3,16
165,295,106,3,49
197,36,70,2,25
1,188,63,2,18
108,280,87,3,1
126,239,230,0,16
66,76,118,5,38
119,232,203,1,24
10,60,51,0,31
65,193,59,2,4
28,22,81,3,20
73,122,133,0,16
192,203,85,1,48
85,8,139,2,7
127,54,47,5,19
173,233,66,2,26
82,226,215,4,7
111,258,35,1,43
133,10,163,1,22
114,38,95,2,50
154,262,211,5,39
118,98,28,4,35
43,224,57,2,15
161,222,202,5,8
13,285,122,5,2
140,199,66,3,17
107,17,207,1,12
140,171,36,1,30
176,124,177,3,37
128,275,193,0,31
111,89,125,4,43
75,186,46,4,44
115,212,72,5,9
111,112,45,0,8
12,140,171,4,45
177,132,32,4,18
169,71,200,1,6
46,244,24,0,7
100,4,71,3,36
127,124,232,4,43
69,115,119,4,16
44,4,27,1,44
12,60,188,5,47
107,98,122,3,50
21,248,215,4,36
76,194,213,5,7
114,117,236,5,50
136,193,211,0,30
50,17,155,3,32
180,91,158,1,43
170,181,106,1,48
72,20,160,2,37
104,28,14,3,8
128,262,65,0,0
5,38,55,1,26
42,54,142,2,20
13,36,17,0,6
136,238,28,2,25
129,152,15,4,23
69,223,109,2,37
4,158,73,0,7
129,106,188,4,18
41,112,19,3,45
76,65,28,1,49
40,68,108,4,49
93,291,50,1,41
166,93,80,5,18
65,59,123,2,25
104,170,126,1,9
191,86,142,3,33
77,33,20,5,34
118,23,53,4,0
171,273,59,5,0
104,20,124,0,33
148,219,236,4,49
132,76,109,2,13
51,268,14,1,39
31,69,88,2,7
196,13,54,1,36
92,50,69,2,12
19,150,38,1,35
42,284,188,4,48
175,100,80,4,30
19,193,165,4,46
197,81,26,4,15
102,232,183,1,11
23,91,61,4,7
176,112,166,4,21
61,38,218,1,28
115,299,6,4,12
181,251,222,2,20
111,206,212,0,47
11,168,173,2,21
81,294,144,0,28
74,234,176,3,7
105,118,1,3,29
109,173,18,1,32
181,156,73,5,48
173,125,11,2,43
150,3,210,5,3
112,99,230,3,45
105,108,137,2,11
79,125,218,1,11
86,159,44,4,47
40,225,219,5,10
162,210,187,3,21
82,243,144,5,31
64,104,111,3,40
43,291,179,3,26
27,183,13,5,31
102,60,110,4,43
15,141,159,1,50
44,67,96,0,16
101,270,234,5,26
98,59,164,1,7
92,214,236,5,10
63,107,189,3,18
47,81,38,3,16
187,93,125,5,27
149,273,25,4,36
70,246,120,1,34
123,195,85,0,35
197,254,187,0,16
4,233,132,1,20
19,146,24,1,11
134,272,181,5,48
172,115,17,2,14
108,189,208,2,7
107,65,122,2,47
40,217,101,5,17
38,117,238,2,20
107,220,121,5,24
52,216,201,1,17
19,181,146,1,47
54,61,235,1,1
88,17,103,4,11
56,241,202,3,27
177,274,215,5,29
169,171,125,4,35
67,106,202,5,5
97,62,100,1,6
35,66,116,5,21
79,210,188,3,40
133,24,231,3,42
132,43,228,3,24
127,220,45,1,45
111,145,119,0,30
34,35,213,3,2
112,205,233,5,13
66,20,159,0,2
61,200,225,1,45
36,94,42,5,11
180,51,18,4,5
159,26,117,0,12
36,30,21,2,23
4,81,118,0,39
127,223,218,4,27
74,51,168,0,13
158,264,76,3,33
148,164,148,0,21
31,145,84,4,11
141,58,171,4,12
148,113,204,4,11
36,98,94,5,3
18,129,149,1,21
59,231,54,5,27
131,126,225,4,38
116,51,214,1,32
42,57,99,3,33
163,223,49,1,21
141,290,221,3,14
179,274,169,1,23
139,131,84,4,32
53,224,139,4,42
54,83,219,0,23
78,45,43,3,13
64,124,90,0,45
170,175,218,4,9
30,187,92,2,11
12,31,239,1,37
25,162,240,3,40
54,67,175,5,33
114,216,24,1,16
177,239,166,0,43
27,209,73,5,33
123,19,65,0,44
9,103,150,0,25
5,166,227,1,24
163,219,6,1,49
183,89,156,0,38
48,137,184,4,45
19,171,93,1,9
80,72,129,1,25
59,189,161,1,7
185,208,8,5,32
189,116,25,0,19
190,83,104,5,23
193,35,169,3,5
6,238,170,0,2
161,168,192,2,46
140,149,86,4,9
23,63,205,4,0
88,168,148,1,3
134,123,195,3,2
136,99,235,5,47
165,143,195,1,27
81,134,182,0,44
129,16,161,0,27
9,193,27,2,22
18,245,57,4,5
72,182,93,4,49
96,199,186,2,47
93,121,60,2,10
184,93,180,4,11
126,144,20,1,7
108,7,137,3,18
165,280,55,1,34
106,36,47,1,24
30,79,43,2,31
5,96,139,2,34
80,100,125,1,8
91,295,127,2,45
13,85,237,4,18
154,129,103,2,43
167,83,15,0,18
127,252,55,3,17
147,237,28,4,14
95,156,122,4,13
149,229,48,0,31
193,163,75,0,44
140,64,2,5,26
183,64,32,3,9
137,124,131,3,31
186,98,217,1,0
59,194,125,1,33
48,209,158,0,46
132,247,239,2,31
44,139,132,3,1
113,72,204,0,24
151,219,96,3,46
20,66,13,0,19
188,254,83,3,25
34,135,112,3,7
128,105,165,1,33
38,61,28,4,4
72,227,43,0,10
24,117,220,5,46
86,36,149,0,36
167,299,192,1,44
5,293,157,5,33
118,198,71,5,27
162,204,126,2,29
182,281,110,4,22
51,248,13,0,18
170,158,135,3,22
5,76,43,5,23
8,197,105,4,9
155,67,118,4,39
120,155,161,0,32
44,53,51,0,30
148,230,136,4,16
193,249,127,4,32
50,54,104,1,37
80,199,91,4,28
29,288,117,5,21
109,17,40,5,47
148,60,131,4,50
121,106,219,1,3
157,120,116,5,0
112,245,8,4,45
12,229,59,0,3
196,21,143,1,16
14,112,174,2,25
18,126,18,1,42
108,141,158,2,41
14,177,204,4,38
135,34,60,0,23
93,187,121,5,46
62,231,41,0,44
77,283,236,0,5
141,116,168,2,33
164,173,100,2,45
37,166,229,1,9
104,225,142,1,46
173,42,230,3,11
34,49,116,5,49
92,50,201,1,4
137,198,105,3,50
186,283,131,4,39
34,240,81,2,9
41,162,137,4,23
142,204,202,1,26
65,185,216,4,16
92,67,196,1,49
85,222,207,2,11
142,275,123,1,28
84,143,169,5,13
197,269,233,3,43
181,35,191,3,33
140,249,189,0,17
69,260,190,3,49
102,140,173,5,38
86,174,207,5,40
43,234,94,5,42
162,210,54,4,35
5,10,161,4,7
199,245,173,0,4
5,110,23,2,33
59,193,161,5,9
86,85,155,2,13
81,103,224,3,36
177,189,218,1,42
113,72,206,1,19
113,141,49,0,18
186,252,175,5,16
50,203,26,5,8
100,235,107,3,0
79,293,83,1,34
59,251,205,1,36
183,13,177,0,33
187,137,191,0,35
39,280,67,3,26
179,224,85,4,24
125,101,96,1,33
166,55,22,4,24
185,144,22,5,11
153,262,97,0,49
61,206,236,4,21
99,181,236,2,12
44,252,2,1,30
27,254,11,5,7
52,274,224,5,2
107,176,160,5,18
168,279,184,4,43
26,214,220,1,21
91,258,214,3,9
191,159,8,3,1
72,264,190,5,50
122,64,129,0,49
178,45,47,3,37
179,130,182,0,27
126,17,203,1,24
95,7,77,0,32
13,216,115,2,39
181,90,66,4,42
143,243,174,1,22
12,6,110,3,41
8,94,162,0,47
93,283,126,0,45
92,272,203,1,40
62,190,122,1,43
162,194,146,1,0
101,188,163,5,5
51,118,97,2,19
112,34,109,5,49
45,160,9,3,1
103,92,213,3,35
22,2,216,0,34
142,207,116,0,33
171,62,198,5,7
173,125,233,5,40
198,50,138,5,25
154,261,65,5,47
155,170,31,2,28
102,64,238,0,8
167,247,59,5,38
100,97,95,3,29
107,177,52,2,25
137,143,7,4,0
150,19,125,4,33
31,241,171,2,31
42,62,127,4,31
72,167,182,1,47
51,26,177,3,19
151,92,65,3,30
23,40,124,3,36
144,69,47,3,25
157,13,92,1,31
1,190,48,0,48
83,160,57,5,42
111,228,184,5,12
135,79,237,2,13
70,48,164,3,5
165,193,184,2,40
30,106,182,5,0
181,295,78,3,2
152,180,13,5,32
26,8,86,0,48
117,92,172,4,24
173,295,167,2,37
79,11,131,3,12
18,190,200,4,20
5,243,121,5,2
196,203,104,3,31
127,113,67,0,15
161,93,98,4,28
104,236,231,3,18
73,100,75,5,29
164,86,80,0,10
133,53,70,5,25
52,281,109,5,30
181,88,155,3,13
91,137,52,1,40
59,26,61,4,37
75,54,25,0,17
44,244,40,0,18
145,233,73,0,29
40,225,139,1,17
122,256,4,0,8
25,154,32,4,23
14,55,132,3,25
76,115,221,1,19
195,203,45,5,28
29,31,210,3,34
2,132,97,1,28
179,36,53,4,19
135,226,91,4,15
41,173,35,2,22
156,272,5,4,31
75,238,174,3,38
14,9,117,4,3
185,152,176,3,25
181,24,175,5,45
6,234,94,4,16
152,252,178,4,16
66,234,58,0,48
106,10,92,2,49
152,254,43,3,45
83,14,130,1,4
115,223,183,2,32
109,5,119,2,9
81,193,6,5,30
167,75,160,1,50
45,260,152,1,18
28,41,115,3,14
77,46,2,2,3
18,60,134,0,43
123,117,73,4,14
7,122,78,1,37
54,160,68,3,16
24,228,70,5,41
134,240,53,3,29
88,2,40,5,38
139,12,142,0,49
135,133,201,5,37
119,53,2,0,42
112,1,2,3,7
68,36,231,0,16
34,264,23,3,46
94,299,54,4,15
3,144,29,1,31
5,19,236,2,5
70,172,48,4,25
85,139,189,5,13
66,9,72,1,24
200,275,146,1,16
71,81,121,3,50
69,151,131,1,45
134,207,162,0,40
194,201,146,1,35
199,83,46,2,26
114,132,180,5,36
112,179,177,3,36
150,274,133,2,7
159,286,151,3,50
18,143,34,0,1
45,114,80,5,42
180,154,6,5,25
124,140,37,1,32
190,85,171,1,45
148,153,143,0,31
150,73,123,1,15
39,184,206,0,10
146,86,85,1,35
70,229,89,5,19
133,8,158,0,34
193,166,130,1,47
26,207,38,5,18
36,36,54,5,15
63,110,40,1,17
55,149,151,1,43
189,86,26,5,33
90,294,225,2,28
189,42,51,4,19
16,249,141,5,36
183,196,42,3,18
143,180,117,2,8
185,243,136,2,45
180,74,24,1,15
92,221,167,0,25
44,60,17,5,20
63,193,178,4,13
13,10,188,5,39
164,193,95,4,25
59,107,113,1,39
19,295,106,3,19
52,241,31,1,12
77,106,206,3,16
42,161,240,0,18
90,212,165,4,26
47,10,19,3,37
128,187,0,1,16
20,226,40,0,15
16,148,182,1,30
161,9,140,5,46
186,104,240,5,49
129,75,77,0,37
148,136,237,5,26
16,248,156,5,9
107,276,103,2,34
140,154,107,2,41
127,124,194,4,17
132,210,95,4,28
5,213,237,1,30
69,175,38,3,2
176,104,9,1,0
78,145,104,5,11
52,188,179,4,23
47,249,237,4,41
20,265,56,1,40
29,151,154,4,7
121,35,134,2,46
52,290,109,2,39
129,188,227,2,40
103,155,72,0,27
90,242,37,1,34
188,75,90,1,45
126,195,12,1,35
83,68,131,2,43
128,105,149,5,20
45,60,191,0,15
121,253,53,2,25
23,82,164,5,7
117,110,191,3,3
107,106,17,0,2
41,260,164,1,1
105,144,11,0,6
104,113,35,3,44
153,176,233,5,3
27,122,67,1,12
83,77,225,3,11
13,184,164,3,48
140,72,232,5,48
200,237,94,5,16
8,46,189,2,33
109,165,17,3,32
129,248,186,0,35
141,88,123,1,1
39,88,18,5,32
59,161,220,4,2
43,147,170,0,47
113,218,130,4,26
127,213,138,3,12
55,270,130,3,46
49,235,38,2,50
128,222,239,4,3
126,297,78,3,22
185,73,52,1,13
146,168,193,2,9
157,32,152,4,25
25,38,25,4,2
58,239,199,1,37
110,7,236,4,18
194,150,30,4,12
183,124,205,2,5
24,6,239,2,46
120,59,232,0,24
108,182,15,3,23
18,51,89,1,17
95,15,27,3,37
14,200,60,3,18
64,168,81,0,34
87,37,195,0,40
62,60,149,3,43
131,264,44,4,16
161,74,91,1,37
156,56,53,0,35
62,195,42,5,2
78,20,238,5,40
132,131,36,4,37
137,55,150,2,45
8,52,132,4,20
46,283,228,2,1
14,164,169,5,16
192,264,126,5,16
194,257,152,4,7
6,250,52,2,26
28,244,3,4,7
46,294,160,4,48
46,81,205,4,40
4,255,202,1,29
45,184,125,2,37
20,36,140,3,23
89,138,202,4,27
40,180,174,1,40
76,165,208,2,33
142,167,13,3,24
181,31,15,3,35
36,177,50,4,18
114,154,69,1,19
111,186,111,5,42
131,60,233,4,36
182,79,0,3,33
97,279,100,2,31
138,10,44,2,50
38,30,134,1,9
158,120,71,1,24
18,123,174,2,35
108,81,211,5,22
131,290,27,5,31
23,208,58,4,35
63,135,158,1,22
141,47,73,0,32
78,226,234,0,46
164,171,116,0,7
35,21,193,3,5
172,40,29,4,2
200,233,32,4,21
95,209,95,2,9
176,232,54,3,17
125,198,240,4,18
96,136,207,5,49
72,249,10,2,34
130,155,111,5,8
143,108,55,0,22
186,215,163,0,23
18,286,23,2,38
176,116,152,0,29
3,50,164,2,18
53,234,204,2,43
148,225,166,3,24
132,174,189,0,2
24,186,85,2,18
51,212,160,2,40
146,242,20,4,19
20,123,129,4,38
192,272,226,5,41
127,103,54,1,8
74,208,182,0,40
71,86,125,4,38
19,95,77,4,12
195,66,36,2,13
167,151,66,4,49
100,277,74,5,11
100,79,160,2,42
168,185,4,4,6
44,76,74,0,44
6,7,68,0,24
115,13,74,4,25
109,264,40,5,45
94,177,109,2,37
19,100,104,3,48
102,108,170,2,38
154,260,56,4,15
33,293,174,4,11
159,119,78,1,17
166,23,77,3,0
125,145,163,3,25
189,297,232,3,42
43,300,178,4,45
108,147,180,2,21
61,93,215,2,13
107,46,11,3,3
176,269,79,2,40
26,150,41,1,24
162,30,203,3,21
188,250,58,4,6
46,39,129,5,36
52,291,174,3,23
129,72,166,1,32
200,134,101,2,34
112,101,102,3,23
7,32,40,2,22
75,3,22,4,23
137,28,78,3,31
176,245,189,0,5
65,22,92,3,18
109,162,94,1,37
154,53,194,2,14
161,133,93,5,36
145,213,6,3,45
112,6,188,1,8
27,145,178,2,10
116,58,29,2,12
19,227,110,3,18
34,21,193,4,23
88,158,159,5,1
182,172,188,1,42
83,6,1,2,40
194,158,19,5,21
18,134,112,0,35
75,105,189,3,16
58,142,27,3,31
120,178,227,2,26
3,212,173,0,5
167,53,24,2,41
98,16,196,3,49
22,226,121,5,39
155,181,156,1,9
187,172,99,1,34
27,179,91,4,33
90,55,222,1,15
140,97,103,3,11
29,247,178,3,18
18,218,111,0,6
79,262,58,0,1
192,95,117,5,13
65,18,189,5,3
66,199,215,1,5
113,190,98,3,7
163,102,25,5,1
95,212,82,5,20
153,155,237,4,39
147,296,16,0,6
76,296,64,3,50
127,281,160,5,21
97,27,156,2,8
64,133,30,5,19
87,14,208,0,22
78,76,133,5,26
142,213,105,0,13
9,121,166,5,18
106,55,198,3,37
129,76,3,1,30
200,287,100,5,14
51,4,213,0,18
32,197,62,0,25
